rats,groupe,cond,inje,session,trend,bloc,norm
14,stim,laser,7,5,9,3,0.6829268292682927
19,stim,laser,6,5,9,3,0.41379310344827586
20,stim,laser,4,5,9,3,0.34782608695652173
50,eyfp,laser,10,6,10,3,1.4285714285714286
51,eyfp,laser,10,6,10,3,0.9090909090909091
52,eyfp,laser,7,6,10,3,1.0769230769230769
63,eyfp,laser,8,6,10,3,0.8648648648648649
64,eyfp,laser,12,6,10,3,0.8421052631578947
21,eyfp,laser,16,6,10,3,1.3333333333333333
22,eyfp,laser,13,6,10,3,0.9629629629629629
53,stim,laser,8,6,10,3,0.8
54,stim,laser,8,6,10,3,1.2307692307692308
55,stim,laser,7,6,10,3,0.8235294117647058
59,stim,laser,7,6,10,3,0.717948717948718
14,stim,laser,5,6,10,3,0.4878048780487805
19,stim,laser,9,6,10,3,0.6206896551724138
20,stim,laser,11,6,10,3,0.9565217391304348
50,eyfp,laser,12,7,11,3,1.7142857142857142
51,eyfp,laser,10,7,11,3,0.9090909090909091
52,eyfp,laser,5,7,11,3,0.7692307692307693
63,eyfp,laser,8,7,11,3,0.8648648648648649
64,eyfp,laser,11,7,11,3,0.7719298245614035
21,eyfp,laser,13,7,11,3,1.0833333333333333
22,eyfp,laser,11,7,11,3,0.8148148148148148
53,stim,laser,10,7,11,3,1
54,stim,laser,8,7,11,3,1.2307692307692308
55,stim,laser,10,7,11,3,1.1764705882352942
59,stim,laser,4,7,11,3,0.41025641025641024
14,stim,laser,6,7,11,3,0.5853658536585366
19,stim,laser,10,7,11,3,0.6896551724137931
20,stim,laser,5,7,11,3,0.43478260869565216
50,eyfp,laser,10,8,12,3,1.4285714285714286
51,eyfp,laser,9,8,12,3,0.8181818181818182
52,eyfp,laser,6,8,12,3,0.9230769230769231
63,eyfp,laser,9,8,12,3,0.972972972972973
64,eyfp,laser,12,8,12,3,0.8421052631578947
21,eyfp,laser,14,8,12,3,1.1666666666666667
22,eyfp,laser,12,8,12,3,0.8888888888888888
53,stim,laser,8,8,12,3,0.8
54,stim,laser,8,8,12,3,1.2307692307692308
55,stim,laser,4,8,12,3,0.47058823529411764
59,stim,laser,5,8,12,3,0.5128205128205128
14,stim,laser,8,8,12,3,0.7804878048780488
19,stim,laser,8,8,12,3,0.5517241379310345
20,stim,laser,4,8,12,3,0.34782608695652173
50,eyfp,off,5,1,13,4,0.7142857142857143
51,eyfp,off,10,1,13,4,0.9090909090909091
52,eyfp,off,5,1,13,4,0.7692307692307693
63,eyfp,off,8,1,13,4,0.8648648648648649
64,eyfp,off,13,1,13,4,0.9122807017543859
21,eyfp,off,13,1,13,4,1.0833333333333333
22,eyfp,off,14,1,13,4,1.037037037037037
53,stim,off,7,1,13,4,0.7
54,stim,off,9,1,13,4,1.3846153846153846
55,stim,off,4,1,13,4,0.47058823529411764
59,stim,off,6,1,13,4,0.6153846153846154
14,stim,off,14,1,13,4,1.3658536585365855
19,stim,off,6,1,13,4,0.41379310344827586
