"","X1","rats","groupe","cond","inje","session","trend","norminje","bloc"
"101",101,52,"eyfp","laser",6,4,8,0.923076923076923,2
"102",102,63,"eyfp","laser",10,4,8,1.08108108108108,2
"103",103,64,"eyfp","laser",11,4,8,0.771929824561403,2
"104",104,21,"eyfp","laser",10,4,8,0.833333333333333,2
"105",105,22,"eyfp","laser",14,4,8,1.03703703703704,2
"106",106,56,"inhi","laser",9,4,8,1.125,2
"107",107,57,"inhi","laser",10,4,8,1.17647058823529,2
"108",108,65,"inhi","laser",8,4,8,0.780487804878049,2
"109",109,66,"inhi","laser",9,4,8,0.8,2
"110",110,5,"inhi","laser",14,4,8,0.861538461538462,2
"111",111,6,"inhi","laser",14,4,8,1.01818181818182,2
"112",112,23,"inhi","laser",11,4,8,0.956521739130435,2
"113",113,50,"eyfp","laser",10,5,9,1.42857142857143,3
"114",114,51,"eyfp","laser",12,5,9,1.09090909090909,3
"115",115,52,"eyfp","laser",6,5,9,0.923076923076923,3
"116",116,63,"eyfp","laser",9,5,9,0.972972972972973,3
"117",117,64,"eyfp","laser",13,5,9,0.912280701754386,3
"118",118,21,"eyfp","laser",15,5,9,1.25,3
"119",119,22,"eyfp","laser",13,5,9,0.962962962962963,3
"120",120,56,"inhi","laser",2,5,9,0.25,3
"121",121,57,"inhi","laser",7,5,9,0.823529411764706,3
"122",122,65,"inhi","laser",7,5,9,0.682926829268293,3
"123",123,66,"inhi","laser",6,5,9,0.533333333333333,3
"124",124,5,"inhi","laser",16,5,9,0.984615384615385,3
"125",125,6,"inhi","laser",15,5,9,1.09090909090909,3
"126",126,23,"inhi","laser",9,5,9,0.782608695652174,3
"127",127,50,"eyfp","laser",10,6,10,1.42857142857143,3
"128",128,51,"eyfp","laser",10,6,10,0.909090909090909,3
"129",129,52,"eyfp","laser",7,6,10,1.07692307692308,3
"130",130,63,"eyfp","laser",8,6,10,0.864864864864865,3
"131",131,64,"eyfp","laser",12,6,10,0.842105263157895,3
"132",132,21,"eyfp","laser",16,6,10,1.33333333333333,3
"133",133,22,"eyfp","laser",13,6,10,0.962962962962963,3
"134",134,56,"inhi","laser",12,6,10,1.5,3
"135",135,57,"inhi","laser",8,6,10,0.941176470588235,3
"136",136,65,"inhi","laser",8,6,10,0.780487804878049,3
"137",137,66,"inhi","laser",6,6,10,0.533333333333333,3
"138",138,5,"inhi","laser",16,6,10,0.984615384615385,3
